95,82
94,82
93,82
92,82
91,82
90,82
89,82
88,82
87,82
86,82
85,82
84,82
83,82
82,82
81,82
80,82
79,82
78,82
77,82
76,82
75,82
74,82
73,82
72,82
71,82
70,82
69,82
68,82
67,82
66,82
66,81
66,80
66,79
66,78
66,77
66,76
66,75
66,74
66,73
66,72
66,71
66,70
66,69
66,68
66,67
66,66
65,66
65,65
65,64
65,63
65,62
65,61
65,60
65,59
65,58
65,57
65,56
65,55
65,54
65,53
65,52
65,51
65,50
65,49
65,48
65,47
65,46
65,45
65,44
65,43
65,42
65,41
65,40
64,40
63,40
62,40
61,40
60,40
59,40
